Period,Ngày,Ngày tháng,HS code,Prod code,Sale code,Item code,STOCK OUT,Transaction type,QTY,Level subcon,Remark
2026-04,16,2026-04-16 00:00:00,EAD64545392V1,EAD64545392-I,EAD64545392-I,,CKTN,SUB IN,490,2,
2026-04,16,2026-04-16 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,,CKVB,SUB IN,1000,2,
2026-04,16,2026-04-16 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,992,2,
2026-04,16,2026-04-16 00:00:00,EAD62428629V1,EAD62428629-T,EAD62428629-T,,CKAL,SUB IN,1998,2,
2026-04,17,2026-04-17 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,,CKVB,SUB IN,499,2,
2026-04,17,2026-04-17 00:00:00,EAD64149412,EAD64149412-T,EAD64149412-T,,CKAL,SUB IN,998,2,
2026-04,17,2026-04-17 00:00:00,EAD66091503V3,EAD66091503-I,EAD66091503-I,,CKVB,SUB IN,460,2,
2026-04,17,2026-04-17 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,,CKAL,SUB IN,1000,2,
2026-04,17,2026-04-17 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,2000,2,
2026-04,17,2026-04-17 00:00:00,EAD62061319,EAD62061319-T,EAD62061319-T,,CKAL,SUB IN,999,2,
2026-04,18,2026-04-18 00:00:00,EAD65895024,EAD65895024-I,EAD65895024-I,,CKAL,SUB IN,1000,2,
2026-04,18,2026-04-18 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,2000,2,
2026-04,18,2026-04-18 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,,CKAL,SUB IN,4000,2,
2026-04,18,2026-04-18 00:00:00,EAD63911418,EAD63911418-I,EAD63911418-I,,CKMT,SUB IN,498,2,
2026-04,18,2026-04-18 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,,CKAL,SUB IN,1800,2,
