Period,Số tờ khai,Ngày TK,Mã loại hình,Số hóa đơn,HS code,Prod code,Sale code,ĐVT,QTY SALE,Ngày giao hàng,QTY RETURN,Remark
2026-04,308458251530,2026-04-21 00:00:00,,193,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,1000,,,
2026-04,308458251530,2026-04-21 00:00:00,,193,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,4000,,,
2026-04,308458251530,2026-04-21 00:00:00,,193,6850EC3006V,6850EC3006V-T,6850EC3006V-T,SET/ Bộ,1000,,,
2026-04,308458251530,2026-04-21 00:00:00,,193,EAD62428629V1,EAD62428629-T,EAD62428629-T,SET/ Bộ,998,,,
2026-04,308458251530,2026-04-21 00:00:00,,193,EAD63911358,EAD63911358-I,EAD63911358-I,SET/ Bộ,400,,,
2026-04,308458251530,2026-04-21 00:00:00,,193,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,3000,,,
2026-04,308458251530,2026-04-21 00:00:00,,193,7200007689,7200007689-I,7200007689-I,SET/ Bộ,2,,,
2026-04,308458251530,2026-04-21 00:00:00,,193,7200007556V1,7200007556-I1,7200007556-I,SET/ Bộ,1,,,
2026-04,308458251530,2026-04-21 00:00:00,,193,EAD64169023,EAD64169023-I,EAD64169023-I,SET/ Bộ,600,,,
2026-04,308458251530,2026-04-21 00:00:00,,193,EAD64169033,EAD64169033-I,EAD64169033-I,SET/ Bộ,100,,,
2026-04,308458251530,2026-04-21 00:00:00,,193,EAD65616822,EAD65616822-I,EAD65616822-I,SET/ Bộ,986,,,
2026-04,308458251530,2026-04-21 00:00:00,,193,EAD64745815V1,EAD64745815-I,EAD64745815-I,SET/ Bộ,500,,,
2026-04,308458251530,2026-04-21 00:00:00,,193,EAD63913527V1,EAD63913527-I,EAD63913527-I,SET/ Bộ,200,,,
2026-04,308458251530,2026-04-21 00:00:00,,193,EAD66091503V3,EAD66091503-I,EAD66091503-I,SET/ Bộ,500,,,
2026-04,308461283710,2026-04-22 00:00:00,,194,EAD65895024,EAD65895024-I,EAD65895024-I,SET/ Bộ,499,,,
2026-04,308461283710,2026-04-22 00:00:00,,194,EAD66065901V1,EAD66065901-I,EAD66065901-I,SET/ Bộ,499,,,
2026-04,308461283710,2026-04-22 00:00:00,,194,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,1000,,,
2026-04,308461283710,2026-04-22 00:00:00,,194,EAD63954791,EAD63954791-I,EAD63954791-I,SET/ Bộ,1998,,,
2026-04,308461283710,2026-04-22 00:00:00,,194,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,3000,,,
2026-04,308461283710,2026-04-22 00:00:00,,194,EAD63845502,EAD63845502-T,EAD63845502-T,SET/ Bộ,2000,,,
2026-04,308461283710,2026-04-22 00:00:00,,194,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,3000,,,
2026-04,308461283710,2026-04-22 00:00:00,,194,EAD66010222,EAD66010222-I,EAD66010222-I,SET/ Bộ,997,,,
2026-04,308461283710,2026-04-22 00:00:00,,194,EAD65616822,EAD65616822-I,EAD65616822-I,SET/ Bộ,1000,,,
2026-04,308468220600,2026-04-23 00:00:00,,196,EAD65895024,EAD65895024-I,EAD65895024-I,SET/ Bộ,500,,,
2026-04,308468220600,2026-04-23 00:00:00,,196,EAD66065901V1,EAD66065901-I,EAD66065901-I,SET/ Bộ,500,,,
2026-04,308468220600,2026-04-23 00:00:00,,196,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,1000,,,
2026-04,308468220600,2026-04-23 00:00:00,,196,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,5000,,,
2026-04,308468220600,2026-04-23 00:00:00,,196,EAD63845502,EAD63845502-T,EAD63845502-T,SET/ Bộ,2000,,,
2026-04,308468220600,2026-04-23 00:00:00,,196,6850EC3006V,6850EC3006V-T,6850EC3006V-T,SET/ Bộ,1200,,,
2026-04,308468220600,2026-04-23 00:00:00,,196,EAD62428629V1,EAD62428629-T,EAD62428629-T,SET/ Bộ,1960,,,
2026-04,308468220600,2026-04-23 00:00:00,,196,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,3000,,,
2026-04,308468220600,2026-04-23 00:00:00,,196,7200007556V1,7200007556-I1,7200007556-I,SET/ Bộ,9,,,
2026-04,308468220600,2026-04-23 00:00:00,,196,EAD63647078,EAD63647078-I,EAD63647078-I,SET/ Bộ,270,,,
2026-04,308468220600,2026-04-23 00:00:00,,196,EAD63913527V1,EAD63913527-I,EAD63913527-I,SET/ Bộ,980,,,
