No.,Type code,Item code,Spec,Unit,Đơn giá TK
322,NVL,HOUX01881NA,",,HOUSING ,3901-2100(5557-10R)",EA,2297
323,NVL,HOUX01882NA,",,HOUSING ,3901-2120(5557-12R)",EA,2541
324,NVL,HOUX01884NA,",,HOUSING ,3901-2021(5559-02P)",EA,1028
325,NVL,HOUX01885NA,",,HOUSING ,35155-0300",EA,381
326,NVL,HOUX01931NA,",,HOUSING ,625311T",EA,1069
327,NVL,HOUX01932NA,",,HOUSING,625311T-2",EA,1069
328,NVL,HOUX01936NA,",,HOUSING,625316T-2",EA,2185
329,NVL,HOUX01940NA,",,HOUSING ,20017HS-02000",EA,228
330,NVL,HOUX01969NA,",,HOUSING ,2369509-1",EA,806
331,NVL,HOUX02056NA,",,HOUSING,2369505-1",EA,906
332,NVL,HOUX02060NA,",,HOUSING,SMH200-H10H3",EA,403
333,NVL,HOUX02074NA,",,HOUSING,SMH200-H02H3",EA,221
334,NVL,HOUX02087NA,",,HOUSING,ZNDP-22V-A-S",EA,1599
335,NVL,HOUX02121NA,",,HOUSING,EH688.500-007-A-A35-960-A",EA,4910
